phylum	class	order	family	species
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion mucidum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion mus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion neilense
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion nigrosparsum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion nudipenne
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion perezi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion pseudomolitor
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion pseudomolitor var. nigritulus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion segovianum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion seguntianum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion seoanei
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion spinolae
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion suturale
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion terolense
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion uhagonii
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion vanhoegaerdeni
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion zarcoi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion zenete
Arthropoda	Insecta	Coleoptera	Cerambycidae	Judolia sexmaculata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Lamia textor
Arthropoda	Insecta	Coleoptera	Cerambycidae	Lamiomimus gottschei
Arthropoda	Insecta	Coleoptera	Cerambycidae	Leioderes kollari
Arthropoda	Insecta	Coleoptera	Cerambycidae	Leiopus albivittis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Leiopus femoratus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Leiopus linnei
Arthropoda	Insecta	Coleoptera	Cerambycidae	Leiopus nebulosus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Lemula decepiens
Arthropoda	Insecta	Coleoptera	Cerambycidae	Leptura aethiops
Arthropoda	Insecta	Coleoptera	Cerambycidae	Leptura annularis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Leptura aurulenta
Arthropoda	Insecta	Coleoptera	Cerambycidae	Leptura duodecimguttata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Leptura quadrifasciata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Leptura rubra
