species	marker_code	kingdom
Hylaeus pictus	COI-5P	Animalia
Arhythmorhynchus frassoni	COI-5P	Animalia
Mespilus germanica	COI-5P	Animalia
Entoloma pachydermum	COI-5P	Animalia
Micrasema minimum	COI-5P	Animalia
Eumida sanguinea	COI-5P	Animalia
Phuopsis stylosa	COI-5P	Animalia
Mirabilis longiflora	COI-5P	Animalia
Comatricha nigra	COI-5P	Animalia
Xerocomus declivitatum	COI-5P	Animalia
Trachyuropoda willmanni	COI-5P	Animalia
Baylisascaris procyonis	COI-5P	Animalia
Rubus guestphalicus	COI-5P	Animalia
Paranais simplex	COI-5P	Animalia
Epigloea grummannii	COI-5P	Animalia
Dysaphis crataegi	COI-5P	Animalia
Parmelia ernstiae	COI-5P	Animalia
Ptiloxenoides phoenicopteri	COI-5P	Animalia
Echinogammarus planicrurus	COI-5P	Animalia
Typhula gyrans	COI-5P	Animalia
Edaphus lederi	COI-5P	Animalia
Erica ciliaris	COI-5P	Animalia
Nerium oleander	COI-5P	Animalia
Deconica castanella	COI-5P	Animalia
Wolffia columbiana	COI-5P	Animalia
Uroobovella pulchella	COI-5P	Animalia
Radfordia lemnina	COI-5P	Animalia
Phanerotoma atra	COI-5P	Animalia
Heterostylodes pilifera	COI-5P	Animalia
Cheilymenia fraudans	COI-5P	Animalia
Pandivirilia melaleuca	COI-5P	Animalia
Epilobium rivulare	COI-5P	Animalia
Proctodrilus tuberculatus	COI-5P	Animalia
Cancerilla tubulata	COI-5P	Animalia
Psilus cornutus	COI-5P	Animalia
Erythronium grandiflorum	COI-5P	Animalia
Acalypha australis	COI-5P	Animalia
Poecilochirus necrophori	COI-5P	Animalia
Lonicera japonica	COI-5P	Animalia
Pseudoparasitus germanicus	COI-5P	Animalia
Aster tongolensis	COI-5P	Animalia
Vicia narbonensis	COI-5P	Animalia
Bonamia ostreae	COI-5P	Animalia
Archiceroptera highhells	COI-5P	Animalia
Aspidiophorus marinus	COI-5P	Animalia
Meloidogyne graminicola	COI-5P	Animalia
Abramis leuckartii	COI-5P	Animalia
Cerebratulus fuscus	COI-5P	Animalia
Thermocyclops hyalinus	COI-5P	Animalia
Leptosphaeria trifolii	COI-5P	Animalia
Ophiognomonia alni-viridis	COI-5P	Animalia
Collomia grandiflora	COI-5P	Animalia
Aquilegia chrysantha	COI-5P	Animalia
Trichoglossum walteri	COI-5P	Animalia
Lycopus exaltatus	COI-5P	Animalia
Pachylaelaps ensifer	COI-5P	Animalia
Pseudobradya minor	COI-5P	Animalia
Lepidium austrinum	COI-5P	Animalia
Livilla variegata	COI-5P	Animalia
Cotula australis	COI-5P	Animalia
Tetrastichus temporalis	COI-5P	Animalia
Rhodacarus roseus	COI-5P	Animalia
Technomyrmex albipes	COI-5P	Animalia
Rynchobanchus flavopictus	COI-5P	Animalia
Lactarius uvidus	COI-5P	Animalia
Taraxacum polyodon	COI-5P	Animalia
Coprinopsis pseudoamphithalla	COI-5P	Animalia
Furcaspis biformis	COI-5P	Animalia
Taraxacum ploegii	COI-5P	Animalia
Crocicreas starbaeckii	COI-5P	Animalia
Dysmicoccus brevipes	COI-5P	Animalia
Ruditapes philippinarum	COI-5P	Animalia
Paracyclops imminutus	COI-5P	Animalia
Neonectria discophora	COI-5P	Animalia
Puccinia variabilis	COI-5P	Animalia
Melanosoma rubripes	COI-5P	Animalia
Primula variabilis	COI-5P	Animalia
Quercus hispanica	COI-5P	Animalia
Acanthochondria cornuta	COI-5P	Animalia
Pelodiscus sinensis	COI-5P	Animalia
Rhopalanoetus fimetarius	COI-5P	Animalia
Neodiprion abietis	COI-5P	Animalia
Fallopia cilinodis	COI-5P	Animalia
Agoseris alpina	COI-5P	Animalia
Coprinopsis urticicola	COI-5P	Animalia
Parathalestris harpactoides	COI-5P	Animalia
Proctophyllodes robustipennis	COI-5P	Animalia
Casinaria subglabra	COI-5P	Animalia
Nereis pelagica	COI-5P	Animalia
Pirottaea brevipila	COI-5P	Animalia
Helianthus diffusus	COI-5P	Animalia
Filago congesta	COI-5P	Animalia
Anacyclus valentinus	COI-5P	Animalia
Entoloma minutum	COI-5P	Animalia
Hypocrea leucopus	COI-5P	Animalia
Kampimodromus elongatus	COI-5P	Animalia
Doris verrucosa	COI-5P	Animalia
Anas cyanoptera	COI-5P	Animalia
Caprella equilibra	COI-5P	Animalia
Syzygospora mycophaga	COI-5P	Animalia
Cryptosporella betulae	COI-5P	Animalia
Messor barbarus	COI-5P	Animalia
Cirolana cranchi	COI-5P	Animalia
Crocosmia pottsii	COI-5P	Animalia
Sphaeronella ecaudata	COI-5P	Animalia
Dermacarus sciurinus	COI-5P	Animalia
Taraxacum tanyolobum	COI-5P	Animalia
Liriomyza phryne	COI-5P	Animalia
Diaporthe otthii	COI-5P	Animalia
Boletus calopus	COI-5P	Animalia
Hypoaspis astronomica	COI-5P	Animalia
Pseudoparlatoria parlatorioides	COI-5P	Animalia
Oestophora barbula	COI-5P	Animalia
